ges_id,name,school_type,region,district,courses_offered,contact
343,Abakrampa Senior High/Tech,Senior High Technical School,Central,Abura/Asebu/Kwamankese,"General Arts, Business",
176,Abetifi Presby Senior High,Senior High School,Eastern,Kwahu East,Mr. John Doe,
52,Abomosu STEM Senior High,Senior High School,Eastern,Atiwa West,Mr. John Doe,
558,Abor Senior High,Senior High Technical School,Volta,Keta Municipal,Mr. John Doe,
339,Abrafi Senior High,Senior High School,Bono East,Techiman North,Mr. John Doe,
170,Abuakwa State College,Senior High School,Eastern,Abuakwa South,Mr. John Doe,
342,Aburaman Senior High,Senior High School,Central,Abura/Asebu/Kwamankese,Mr. John Doe,
222,Abutia Senior High/Tchnical,Senior High Technical School,Volta,Ho West,Mr. John Doe,
156,Academy of Christ the King,Senior High School,Central,Cape Coast,Mr. John Doe,
26,Accra Academy,Senior High School,Greater Accra,Accra,Mr. John Doe,
27,Accra Girls Senior High .,Senior High School,Greater Accra,Ayawaso North,Mr. John Doe,
190,Accra Senior High,Senior High Technical School,Greater Accra,Accra,Mr. John Doe,
194,Accra STEM Academy,Senior High School,Greater Accra,Ayawaso West,Mr. John Doe,
410,Accra Wesley Girls High,Senior High School,Greater Accra,Accra,Mr. John Doe,
60,Acherensua Senior High,Senior High School,Ahafo,Asutifi South,Mr. John Doe,
169,Achiase Senior High,Senior High School,Eastern,Achiase,Mr. John Doe,
28,Achimota Senior High,Senior High School,Greater Accra,Okaikwei North,Mr. John Doe,
273,Achinakrom Senior High,Senior High School,Ashanti,Ejisu,Mr. John Doe,
193,Ada Senior High,Senior High School,Greater Accra,Ada East,Mr. John Doe,
614,Adabokrom Comm. SHS,Senior High School,Western North,Bia East,Mr. John Doe,
547,Adaklu Senior High,Senior High Technical School,Volta,Adaklu District,Mr. John Doe,
153,Adankwaman Senior High,Senior High School,Central,Assin South,Mr. John Doe,
282,Adanwomase Senior High,Senior High School,Ashanti,Kwabre East,Mr. John Doe,
406,Adeiso Presby Senior High,Senior High School,Eastern,Upper West Akim,Mr. John Doe,
562,Adidome Senior High,Senior High Technical School,Volta,Central Tongu,Mr. John Doe,
236,Adiembra Senior Hi@,Senior High School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
14,Adisadel College,Senior High School,Central,Cape Coast,Mr. John Doe,
419,Adjen Kotoku Senior High,Senior High Technical School,Greater Accra,Ga West,Mr. John Doe,
380,Adjena Senior High/Tech.,Senior High School,Eastern,Asuogyaman,Mr. John Doe,
615,Adjoafua Comm. Senior High,Senior High Technical School,Western North,Bia West,Mr. John Doe,
260,Adobewora Comm. Senior High,Senior High School,Ashanti,Atwima-Mponua,Mr. John Doe,
302,Adu Gyamfi Senior High,Senior High School,Ashanti,Sekyere South,Mr. John Doe,
281,"Adventist Girls Senior High, Ntonso",Senior High School,Ashanti,Kwabre East,Mr. John Doe,
93,"Adventist Senior High, Kumasi",Senior High School,Ashanti,Kumasi,Mr. John Doe,
585,Af£ao Community SHTS,Senior High Technical School,Volta,Ketu South Municipal,Mr. John Doe,
574,Afadjato Senior High/Tech.,Senior High Technical School,Volta,Hohoe Municipal,Mr. John Doe,
577,Afife Senior High Tech.,Senior High School,Volta,Ketu North Municipal,Mr. John Doe,
295,Afigya Senior High/Tech,Senior High Technical School,Ashanti,Afigya-Kwabre North,Mr. John Doe,
77,Afua Kobi Ampem Girls' Senior High,Senior High School,Ashanti,Atwima-Kwanwoma,Mr. John Doe,
217,Agate Comm. Senior High,Senior High School,Volta,Afadzato South,Mr. John Doe,
